"STATION","NAME","DATE","TAVG"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-13","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-14","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-15","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-16","65"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-17","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-18","65"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-19","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-20","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-21","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-22","63"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-23","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-24","63"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-25","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-26","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-27","69"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-28","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-29","76"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-06-30","78"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-01","78"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-02","75"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-03","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-04","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-05","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-06","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-07","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-08","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-09","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-10","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-11","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-12","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-13","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-14","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-15","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-16","75"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-17","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-18","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-19","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-20","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-21","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-22","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-23","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-24","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-25","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-26","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-27","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-28","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-29","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-30","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-07-31","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-01","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-02","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-03","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-04","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-05","74"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-06","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-07","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-08","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-09","69"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-10","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-11","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-12","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-13","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-14","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-15","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-16","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-17","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-18","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-19","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-20","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-21","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-22","73"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-23","69"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-24","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-25","65"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-26","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-27","69"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-28","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-29","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-30","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-08-31","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-01","74"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-02","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-03","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-04","69"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-05","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-06","63"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-07","65"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-08","70"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-09","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-10","72"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-11","77"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-12","71"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-13","68"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-14","66"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-15","67"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-16","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-17","63"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-18","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-19","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-20","64"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-21","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-22","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-23","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-24","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-25","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-26","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-27","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-28","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-29","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-09-30","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-01","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-02","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-03","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-04","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-05","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-10-06","57"
